Date,Ward 1 AQI,Ward 2 AQI,Ward 3 AQI,Ward 4 AQI,Ward 5 AQI,Ward 6 AQI,Ward 7 AQI,Ward 8 AQI
2023-02-03 19:00:00,9,,7,,12,,,
2023-02-04 19:00:00,10,,4,,34,,,
2023-02-05 19:00:00,15,,12,,54,,,
2023-02-06 19:00:00,18,,14,,92,,,
2023-02-07 19:00:00,25,,31,,77,,,
2023-02-08 19:00:00,37,,24,,83,,,
2023-02-09 19:00:00,23,,14,,35,,,
2023-02-10 19:00:00,63,,8,,37,,,
2023-02-11 19:00:00,16,,12,,63,,,
2023-02-12 19:00:00,11,,12,,47,,,
2023-02-13 19:00:00,5,,9,,38,,,
2023-02-14 19:00:00,9,,9,,32,,,6
2023-02-15 19:00:00,18,,22,,62,,,38
2023-02-16 19:00:00,33,,23,,70,,,55
2023-02-17 19:00:00,11,,1,,24,,,3
2023-02-18 19:00:00,18,,5,,43,,,9
2023-02-19 19:00:00,9,,39,,38,,,10
2023-02-20 19:00:00,15,,12,,53,,,22
2023-02-21 19:00:00,7,,3,,17,,,0
2023-02-22 19:00:00,12,,6,,67,,,14
2023-02-23 19:00:00,8,,2,,28,,,22
2023-02-24 19:00:00,4,,7,,33,,,20
2023-02-25 19:00:00,13,,22,,81,,,61
2023-02-26 19:00:00,29,,23,,62,,,33
2023-02-27 19:00:00,16,,11,,68,,,61
2023-02-28 19:00:00,10,,57,,70,,,56
2023-03-01 19:00:00,15,,22,,59,,,
2023-03-02 19:00:00,19,,25,,55,,,
2023-03-03 19:00:00,5,,8,,13,,,0
2023-03-04 19:00:00,25,,8,,44,,,3
2023-03-05 19:00:00,26,,11,,55,,,
2023-03-06 19:00:00,13,,13,,37,,,0
2023-03-07 19:00:00,5,,2,,8,,,
2023-03-08 19:00:00,7,,2,,15,,,
2023-03-09 19:00:00,7,,7,,54,,,55
2023-03-10 19:00:00,7,,31,,29,,,0
2023-03-11 19:00:00,10,,28,,47,,,23
2023-03-12 20:00:00,8,,22,,74,,,56
2023-03-13 20:00:00,7,,6,,27,,,8
2023-03-14 20:00:00,5,,5,,16,,,1
2023-03-15 20:00:00,4,,4,,15,,,2
2023-03-16 20:00:00,54,,29,,93,,,87
2023-03-17 20:00:00,19,,11,,41,,,
2023-03-18 20:00:00,7,,26,,19,,,0
2023-03-19 20:00:00,8,,10,,36,,,21
2023-03-20 20:00:00,29,,13,,66,,,19
2023-03-21 20:00:00,17,,19,,46,,,5
2023-03-22 20:00:00,56,,30,,90,,,
2023-03-23 20:00:00,22,,11,,49,,,1
2023-03-24 20:00:00,7,,10,,52,,,23
2023-03-25 20:00:00,8,,14,,52,,,26
2023-03-26 20:00:00,20,,15,,63,,,115
2023-03-27 20:00:00,19,,14,,54,,,6
2023-03-28 20:00:00,12,,5,,36,,,7
2023-03-29 20:00:00,11,,5,,35,,,
2023-03-30 20:00:00,12,,7,,53,,,17
2023-03-31 20:00:00,29,,27,,46,,,22
2023-04-01 20:00:00,27,,16,,12,,,0
2023-04-02 20:00:00,16,,8,,52,,,
2023-04-03 20:00:00,27,,12,,51,,,20
2023-04-04 20:00:00,44,,16,,66,,,48
2023-04-05 20:00:00,60,,17,,62,,,53
2023-04-06 20:00:00,42,,6,,21,,,1
2023-04-07 20:00:00,16,,12,,39,,,7
2023-04-08 20:00:00,12,,16,,57,,,18
2023-04-09 20:00:00,10,,14,,35,,,8
2023-04-10 20:00:00,37,,8,,32,,,5
2023-04-11 20:00:00,34,,33,,52,,,25
