name,hour,iaqi_value
DC2023-39,21,66.17037037037036
DC2023-39,22,65.10555555555555
DC2023-39,23,62.41759259259259
DC2023-42,0,67.51666666666667
DC2023-42,1,68.64444444444445
DC2023-42,2,69.81203703703704
DC2023-42,3,70.7175925925926
DC2023-42,4,71.7462962962963
DC2023-42,5,72.72407407407407
DC2023-42,6,73.57592592592592
DC2023-42,7,74.15925925925926
DC2023-42,8,74.46018518518518
DC2023-42,9,74.1212962962963
DC2023-42,10,73.26481481481481
DC2023-42,11,72.12037037037038
DC2023-42,12,71.89722222222223
DC2023-42,13,59.675000000000004
DC2023-42,14,51.797222222222224
DC2023-42,15,58.79351851851852
DC2023-42,16,58.71388888888888
DC2023-42,17,60.4425925925926
DC2023-42,18,65.21481481481482
DC2023-42,19,63.0638888888889
DC2023-42,20,62.27314814814815
DC2023-42,21,64.22407407407407
DC2023-42,22,66.44722222222222
DC2023-42,23,68.15555555555555
DC2023-43,0,8.76842105263158
DC2023-43,1,10.163888888888888
DC2023-43,2,14.036111111111111
DC2023-43,3,16.921296296296294
DC2023-43,4,21.092168863779033
DC2023-43,5,24.180555555555557
DC2023-43,6,25.043518518518518
DC2023-43,7,24.912962962962965
DC2023-43,8,27.96388888888889
DC2023-43,9,30.110185185185188
DC2023-43,10,33.458333333333336
DC2023-43,11,38.976851851851855
DC2023-43,12,42.00925925925926
DC2023-43,13,42.48425925925926
DC2023-43,14,32.84092906465788
DC2023-43,15,29.829629629629625
DC2023-43,16,26.04074074074074
DC2023-43,17,18.572222222222223
DC2023-43,18,12.6
DC2023-43,19,3.2546296296296293
DC2023-43,20,2.364406779661017
DC2023-43,21,5.519444444444444
DC2023-43,22,7.610185185185186
DC2023-43,23,7.230555555555554
DC2023-44,0,33.97894736842105
DC2023-44,1,28.51203703703704
DC2023-44,2,28.787037037037035
DC2023-44,3,28.754629629629633
DC2023-44,4,23.500925925925927
DC2023-44,5,25.635185185185186
DC2023-44,6,29.46759259259259
DC2023-44,7,34.96759259259259
DC2023-44,8,43.40648148148148
DC2023-44,9,55.49074074074074
DC2023-44,10,64.95462962962964
DC2023-44,11,68.02407407407408
DC2023-44,12,73.06018518518518
DC2023-44,13,72.03055555555555
DC2023-44,14,69.96944444444445
DC2023-44,15,61.88333333333334
DC2023-44,16,59.71018518518518
DC2023-44,17,58.412962962962965
DC2023-44,18,55.46388888888889
DC2023-44,19,47.65648148148148
DC2023-44,20,37.76759259259259
DC2023-44,21,35.24722222222222
DC2023-44,22,33.236111111111114
DC2023-44,23,33.98240740740741
DC2023-49,0,73.30614035087719
DC2023-49,1,71.68055555555556
DC2023-49,2,75.58888888888889
DC2023-49,3,77.67500000000001
DC2023-49,4,78.16481481481482
DC2023-49,5,78.76111111111112
DC2023-49,6,80.68518518518518
DC2023-49,7,80.89259259259259
DC2023-49,8,81.39659447583176
DC2023-49,9,82.28888888888889
DC2023-49,10,82.21851851851852
DC2023-49,11,81.02129629629628
DC2023-49,12,76.89444444444445
DC2023-49,13,78.99351851851851
DC2023-49,14,79.81230382925298
DC2023-49,15,80.20277777777778
DC2023-49,16,81.33703703703704
DC2023-49,17,81.65648148148148
DC2023-49,18,81.83148148148149
DC2023-49,19,79.86851851851851
DC2023-49,20,76.60648148148148
DC2023-49,21,77.41296296296296
DC2023-49,22,74.83703703703704
DC2023-49,23,72.72685185185185
